accession	title	projectDescription	publicationDate	submissionType	numAssays	species	tissues	ptmNames	instrumentNames	projectTags
PXD003411	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	6	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD000072	High precision platelet releasate definition by quantitative reversed protein profiling	The platelet releasate defined by quantitative reversed protein 	2014-02-03	COMPLETE	9	['Homo sapiens (Human)']	['blood platelet']	['formylated residue', 'iodoacetamide derivatized residue', 'monohydroxylated residue', 'dihydroxylated residue']	['LTQ Orbitrap Velos']	[]
PXD003409	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - nuclear proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	26	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD003534	Adjuvant Secretomes	Adjuvant-induced human monocyte secretome profiles reveal adjuva	2016-03-14	COMPLETE	89	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Biomedical']
PXD001674	Immune suppressive neutrophils are a separate subset developing parallel to normal neutrophils	Release of neutrophil subsets (hypersegmented, mature and banded	2017-05-29	COMPLETE	3	['Homo sapiens (Human)']	['blood']	['formylated residue', 'iodoacetamide derivatized residue', 'monohydroxylated residue', 'dihydroxylated residue', '2x(13)C,6x(2)H labeled dimethylated L-arginine']	['Q Exactive']	['Biomedical']
PXD006833	Human bladder,colon,kidney,liver cancer LC MS/MS	We propose that enrichment of low-abundance proteins benefits MP	2017-10-02	COMPLETE	15	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive HF']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Human Proteome Project', 'Biomedical']
PXD001421	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of dexamethasone-treated inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	7	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD004626	Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients - proteins from serum samples of healthy donors	Pathophysiology of cancer-associated syndroms such as cachexia i	2016-12-22	COMPLETE	6	['Homo sapiens (Human)']	['blood serum']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biomedical']
PXD009310	The platelet releasate in healthy population and pregancy	Upon activation, platelets release a multitude of soluble and ve	2018-06-25	PARTIAL	0	['Homo sapiens (Human)']	['blood platelet']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD006578	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of CLL cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-06	COMPLETE	18	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD002212	Quantification of cytokines secreted by primary human cells using MRM: evaluation of analytical parameters – shotgun secretome data of untreated HUVECs	The determination of secreted proteins may provide highly valuab	2015-06-29	COMPLETE	6	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Technical', 'Biomedical']
PXD007744	Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 6 populations ex vivo	Regulatory CD4+ T cells (Tregs) are functionally distinct from c	2018-05-18	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'acetylated residue']	['Orbitrap Fusion ETD']	['Biological']
PXD010787	Project Name: Functional proteomics of midostaurin in lung cancer cells: Chemical Proteomics	Lung cancer is associated with high prevalence and mortality, an	2018-09-24	COMPLETE	24	['Homo sapiens (Human)']	['lung']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Cancer (B/D-HPP)', 'Biological']
PXD001357	Direct evidence of milk consumption from ancient human dental calculus, St Helena	This study investigated the consumption of milk products in the 	2015-02-25	COMPLETE	40	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu', 'Deamidated']	['LTQ Orbitrap Elite', 'Q Exactive']	['Metaproteomics', 'Technical']
PXD006847	Nanodroplet processing platform for deep, quantitative proteome profiling of 10-100 mammalian cells	Proteomic data from 10-100 cultured cells and single human islet	2018-01-24	COMPLETE	48	['Homo sapiens (Human)']	['pancreatic islet']	['Carbamidomethyl', 'Oxidation']	['Orbitrap Fusion Lumos']	['Technical']
PXD009738	Immunopeptidomic profiling of HLA-A2-positive triple negative breast cancer	Here we analysed the immunopeptidomes of 6 HLA-A2-positive tripl	2018-06-29	COMPLETE	11	['Homo sapiens (Human)']	['breast']	['Dimethyl', 'Ammonium', 'Trimethyl', 'GlycerylPE', 'Didehydro', 'Cation:Li', 'Met->Hsl', 'Methylthio', 'Dioxidation', 'Hex1HexNAc1', 'Methyl', 'HexNAc', 'Trioxidation', 'DeStreak', 'Menadione', 'Hex(2)', 'Biotin', 'Carbamyl', 'Trp->Hydroxykynurenin', 'Cation:Ca[II]', 'Lys->Allysine', 'Cysteinyl', 'Trp->Kynurenin', 'Cation:Na', 'Formyl', 'Lys->AminoadipicAcid', 'Sulfo', 'glycidamide', 'Carbofuran', 'Phospho', 'Acetyl', 'HydroxymethylOP', 'Deamidated', 'Ethyl', 'GlyGly', 'Pro->Pyrrolidinone', 'Glu->pyro-Glu', 'Oxidation', 'Gln->pyro-Glu', 'Ethanolyl', 'Trp->Oxolactone', 'Glutathione', 'Ethanolamine', 'Carbamidomethyl', 'sulfo+amino', 'Propionamide', 'AEBS', 'Delta:H(5)C(2)', 'Hep', 'maleimide', 'DAET', 'Ethanedithiol', 'Dehydrated', 'Amidated', 'Delta:H(2)C(2)', 'Cys->Dha', 'PhosphoHex', 'Diethyl', 'Carboxy']	['Orbitrap Fusion Lumos']	['Biology/Disease-Driven Human Proteome Project (B/D-HPP)', 'Biomedical']
PXD010093	2018CHPP	ABSTRACT Since 2012, Chromosome-Centric Human Proteome Project (	2018-10-04	COMPLETE	14	['Homo sapiens (Human)']	['testis']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'China Human Proteome Project (CNHPP)', 'Human Proteome Project']
PXD000228	Stimulated Human Platelet Lysate: control, PAR1 and PAR4 stimulated	LC-MS/MS analysis of Control, PAR1-stimulated and PAR4-stimulate	2016-05-11	COMPLETE	8	['Homo sapiens (Human)']	['blood']	['formylated residue', 'iodoacetamide derivatized residue', 'monohydroxylated residue', 'dihydroxylated residue', '2x(13)C,6x(2)H labeled dimethylated L-arginine']	['LTQ Orbitrap Velos']	[]
PXD002620	Human Ureter project	The data includes Human ureter protome fractionated into 10 frac	2015-07-31	COMPLETE	12	['Homo sapiens (Human)']	['ureter']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive']	['Human Proteome Project', 'Biological']
PXD007592	Proteomics-based insights into mitogen-activated protein kinase inhibitor resistance of cerebral melanoma metastases	Background MAP kinase inhibitor (MAPKi) therapy for BRAF mutated	2018-03-16	COMPLETE	36	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'L-proline residue', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive HF']	['Biomedical']
PXD005755	Human serum proteome dynamics in type 2 diabetes using heavy water labeling mass spectrometry	Control subjects and type 2 diabetic patients were given deuteri	2017-11-02	COMPLETE	111	['Homo sapiens (Human)']	['blood plasma']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD011204	Human Platelets PRM	The main aim of this study is to decipher the mutual impact that	2018-10-10	COMPLETE	1	['Homo sapiens (Human)']	['blood platelet']	['Glu->pyro-Glu', 'Carbamidomethyl', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	[]
PXD004683	Comparison of Lung Cancer Proteome Profiles 2: TMT	The goal of this project is to compare label free quantification	2017-02-16	COMPLETE	48	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Technical', 'Biological', 'Biomedical']
PXD003413	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - cytoplasmic proteins of inflammatory stimulated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	12	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD001423	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - secreted proteins of dexamethasone-treated inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	3	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD003045	SPE optimization for peptide sample preparation for urine peptidomics	Development of a modified solid phase extraction (SPE) approach 	2015-10-16	COMPLETE	8	['Homo sapiens (Human)']	['urine']	['Oxidation']	['LTQ Orbitrap Velos']	['Technical', 'Biomedical']
PXD005220	Proteomic profiles of  synovial fluids derived from autologous chondrocyte implantation surgery	The pathology of failure in currently used biological treatments	2017-07-04	COMPLETE	37	['Homo sapiens (Human)']	['synovial tissue']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006522	Analysis of single human glomeruli of a patient with NPHS1 mutation - part 2	We analyzed the proteome of single human glomeruli obtained by s	2018-06-28	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD009029	Application of Multiplexed Ion Mobility Spectrometry towards the Identification of Host Protein Signatures of Treatment Effect in Pulmonary Tuberculosis	Utilized sensitive, high throughput multiplexed ion mobility-mas	2018-10-19	COMPLETE	72	['Homo sapiens (Human)']	['blood serum']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006268	Comparative proteomics of non-nodular and nodular skin tissues from a Hyaline Fibromatosis Syndrome patient.	Hyaline Fibromatosis Syndrome (HFS) is a rare genetic disorder c	2017-07-07	COMPLETE	8	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Phospho', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD009996	Proteogenomic systems analysis identifies targeted therapy resistance mechanisms in EGFR-mutated lung cancer	Cancer precision medicine largely relies on knowledge about gene	2018-07-02	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD000605	The human plasma proteome before and after remote ischemic preconditioning	Six healthy male adults underwent RIPC, consisting of 3x5 min cy	2014-09-16	COMPLETE	3	['Homo sapiens (Human)']	['blood plasma']	['iTRAQ4plex-114 reporter+balance reagent N6-acylated lysine', 'iTRAQ4plex-114 reporter+balance reagent O4&apos;-acylated tyrosine', 'iTRAQ4plex-114 reporter+balance reagent acylated N-terminal', '2-pyrrolidone-5-carboxylic acid (Glu)', 'L-cysteine methyl disulfide', 'monohydroxylated residue', 'acetylated residue', '2-pyrrolidone-5-carboxylic acid (Gln)']	['LTQ Orbitrap', 'LTQ-Orbitrap']	['Biomedical']
PXD006897	Shotgun proteomics analysis of single human tubules	We analyzed microdissected single tubules from human with shotgu	2018-06-28	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD007270	A post-transcriptional program coordinated by CSDE1 prevents intrinsic neural differentiation of human embryonic stem cells	While the transcriptional network of human embryonic stem cells 	2018-05-16	PARTIAL	0	['Homo sapiens (Human)']	['embryo']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD009624	Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry	Cerebrospinal fluid (CSF) is in direct contact with the brain an	2018-09-17	COMPLETE	64	['Homo sapiens (Human)']	['cerebrospinal fluid', 'brain', 'blood']	['Carbamidomethyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological']
PXD004625	Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients - proteins from serum samples of melanoma patients with low tumor load	Pathophysiology of cancer-associated syndroms such as cachexia i	2016-12-22	COMPLETE	6	['Homo sapiens (Human)']	['blood serum']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biomedical']
PXD009752	LC-MSMS of the lc2 MHC class I immunopeptidome	MHC I-associated peptides (MAPs) presented at the surface of nuc	2018-10-22	COMPLETE	1	['Homo sapiens (Human)']	['lung']	['Oxidation', 'Deamidated']	['Q Exactive']	['Biomedical']
PXD004624	Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients – proteins from serum samples of melanoma patients with high tumor load	Pathophysiology of cancer-associated syndroms such as cachexia i	2016-12-22	COMPLETE	6	['Homo sapiens (Human)']	['blood serum']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biomedical']
PXD004682	Comparison of Lung Cancer Proteome Profiles 1: Label Free Quantification	The goal of this project is to compare label free quantification	2017-02-16	COMPLETE	192	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Technical', 'Biological', 'Biomedical']
PXD006517	Analysis of human glomeruli of a patient with NPHS1 mutation - part 1	We analyzed the proteome of glomeruli obtained by sieving.	2018-06-28	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD009118	Secretome of trophoblast organoids	Characterisation of the secretome of placental organoids using L	2018-11-29	COMPLETE	1	['Homo sapiens (Human)']	['trophoblast']	['Carbamidomethyl', 'Amidated', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Biological']
PXD003971	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006805	In-depth protein profiling of cytology samples in urothelial carcinoma	Urine cytologic examination is a widely used primary pathologic 	2018-07-04	PARTIAL	0	['Homo sapiens (Human)']	['urinary bladder']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD001325	Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - tumor-distant tissue sections	Breast cancer is still the most common type of cancer in women; 	2014-09-23	COMPLETE	6	['Homo sapiens (Human)']	['breast']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD000533	CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	The fresh cells as described above were harvested and lysed in b	2013-12-16	COMPLETE	96	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q-Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Human Proteome Project']
PXD003963	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of untreated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD003410	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of untreated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	6	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD003966	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - cytoplasmic proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	4	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD004510	Mapping and Quantification of Brain Protein O-GlcNAcylation in Alzheimer’s Disease	Comprehensive, quantitative proteomics analysis of protein O-Glc	2017-09-03	COMPLETE	50	['Homo sapiens (Human)']	['cerebral gray matter']	['Carbamidomethyl', 'Oxidation', 'TMT6plex', 'AMTzHexNAc2']	['LTQ Orbitrap Velos']	[]
PXD001418	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	7	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006576	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of young B cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-05	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD000445	Proteomic profiling of colorectal adenomas	Colorectal adenomas are cancer precursor lesions of the large bo	2014-04-03	COMPLETE	11	['Homo sapiens (Human)']	['colon']	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'iTRAQ8plex-114 reporter+balance reagent O4&apos;-acylated tyrosine', 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal', 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine', 'monohydroxylated residue', 'methylthiolated residue']	['LTQ Orbitrap Velos']	['Highlighted', 'Biomedical']
PXD008217	Proteomic Evidence of Ancient Mongolian Dietary Dairy Sources in Ancient Dental Calculus	To investigate dairy consumption in ancient Mongolia, we analyse	2018-10-19	COMPLETE	28	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Oxidation', 'Gln->pyro-Glu', 'Deamidated']	['Q Exactive']	['Biological']
PXD001359	Direct evidence of milk consumption from ancient human dental calculus, northern southwest Asia	This study investigated the consumption of milk products in the 	2015-02-26	COMPLETE	7	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Metaproteomics', 'Technical']
PXD008311	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles (exosomes) released from glioblastoma cells	Glioblastoma multiforme (GBM) is a highly aggressive and heterog	2018-07-30	COMPLETE	6	['Homo sapiens (Human)']	['brain']	['Carboxymethyl', 'Oxidation', 'Deamidated']	['Orbitrap Fusion']	[]
PXD008493	Assessment of sample preparation bias in mass spectrometry-based proteomics	For mass spectrometry-based proteomics, the selected sample prep	2018-04-05	COMPLETE	80	['Homo sapiens (Human)']	['palatine tonsil', 'parotid gland', 'nasal polyp']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Technical', 'Human Proteome Project']
PXD001326	Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - bulk tumor tissue	Breast cancer is still the most common type of cancer in women; 	2014-09-23	COMPLETE	7	['Homo sapiens (Human)']	['breast']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD000004	Identification and quantification of human postmortem frontal cortex proteome with a SILAM mouse brain standard	Prefrontal cortex tissue slices from a cognitively and neurpatho	2012-12-10	COMPLETE	5	['Homo sapiens (Human)']	['brain']	['iodoacetamide derivatized residue', 'monohydroxylated residue', '6x(13)C labeled residue']	['QExactive', 'Q Exactive']	[]
