accession	title	projectDescription	publicationDate	submissionType	numAssays	species	tissues	ptmNames	instrumentNames	projectTags
PXD008127	Identification of tumor antigens among the HLA peptidomes of Glioblastoma tumors and plasma	Glioblastoma multiforme (GBM) is the most aggressive brain tumor	2019-06-11	PARTIAL	0	['Homo sapiens (Human)']	['brain']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biomedical']
PXD005709	Biomarkers discovery for Colorectal cancer liver metastasis	Identification of early diagnostic and prognostic biomarkers mea	2018-10-26	PARTIAL	0	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Biomedical']
PXD004443	Blood coagulation and complement activation interact to increase disease activity in systemic lupus erythematosus and coagulation D-Dimer combined with complement C4 is a biomarker of lupus activity	This study was conducted to (1) find deregulation of certain pat	2018-10-26	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive']	['Biomedical']
PXD010469	Human Urinary Proteome in Vesicoureteral Reflux	Vesicoureteral reflux (VUR) is a common pediatric condition that	2018-10-05	PARTIAL	0	['Homo sapiens (Human)']	['urine']	['iodoacetamide derivatized residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD006743	Proteome-wide changes in primary skin keratinocytes exposed to diesel particulate extract – a role for antioxidants in skin health	Environmental air pollution such as diesel smoke emission has be	2018-11-06	PARTIAL	0	['Homo sapiens (Human)']	['skin']	['iodoacetamide derivatized residue', 'TMT6plex-126 reporter+balance reagent acylated residue', 'monohydroxylated residue', 'deamidated residue']	['Orbitrap Fusion']	['Biomedical']
PXD011609	Differential proteomic analysis of actinic keratosis, Bowen's disease and cutaneous squamous cell carcinoma by label-free LC-MS/MS	BACKGROUND: The boundaries between actinic keratosis (AK), Bowen	2018-11-21	PARTIAL	0	['Homo sapiens (Human)']	['skin']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['LTQ Orbitrap']	['Biomedical']
PXD008354	The Proteomic Landscape in the Vitreous of Patients With Age-Related and Diabetic Retinal Disease	In contrast to neovascular age-related macular degeneration (nAM	2018-07-23	PARTIAL	0	['Homo sapiens (Human)']	['vitreous humor']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Orbitrap Fusion']	['Biomedical']
PXD009300	Proteomic Distinction of Renal Oncocytomas and Eosinophilic Chromophobe Renal Cell Carcinomas	Background Renal oncocytomas (ROs) are benign epithelial tumors 	2018-08-13	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD009716	glyXtoolMS Example Data Sets	The data sets of human IgG and human fibrinogen are used as test	2018-09-24	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['LTQ Orbitrap Elite']	['Technical', 'Biological']
PXD007873	TDP-43 in ALS/FTLD studied by a novel aggregate extraction method	Accumulation of abnormally phosphorylated TDP-43 (pTDP-43) is th	2018-10-10	PARTIAL	0	['Homo sapiens (Human)']	['brain']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['TripleTOF 5600', 'Q Exactive']	['Protein Misfolding and Aggregation (B/D-HPP)', 'Biology/Disease-Driven Human Proteome Project (B/D-HPP)', 'Human Proteome Project', 'Biological', 'Biomedical']
PXD005693	Biomarkers discovery for Colorectal cancer	Identification of early diagnostic and prognostic biomarkers mea	2018-10-26	PARTIAL	0	['Homo sapiens (Human)']	['colon']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Biomedical']
PXD007231	Stable isotope dynamic labelling of secretomes C4PR_LIV	We improve on currently-available resources by describing a mass	2019-10-07	PARTIAL	0	['Homo sapiens (Human)']	['esophagus']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive']	['Technical', 'Biomedical']
PXD008992	Characterization of the small intestinal lesion in celiac disease by label-free quantitative mass spectrometry	This study describes a comparison of global proteome expression 	2018-11-21	PARTIAL	0	['Homo sapiens (Human)']	['small intestine']	['2-pyrrolidone-5-carboxylic acid (Glu)', 'monohydroxylated residue', 'deamidated residue', '2-pyrrolidone-5-carboxylic acid (Gln)']	['Q Exactive']	['Biomedical']
PXD007515	Discovery of a testis-specific complex TEX101-DPEP3 and selection of its disrupting antibodies	TEX101 is a testis-specific protein expressed exclusively in mal	2018-08-16	PARTIAL	0	['Homo sapiens (Human)']	['testis']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	[]
PXD009393	Proteome analysis of microvessels from CADASIL patients	CADASIL, the most frequent and intensely studied monogenic SVD, 	2018-08-03	PARTIAL	0	['Homo sapiens (Human)']	['microvessel']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biological']
PXD008568	Human plasma LC-MSMS	Patent ductus arteriosus (PDA) is the third most common congenit	2018-11-30	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['iTRAQ8plex-116 reporter+balance reagent acylated residue']	['Q Exactive']	['Biomedical']
PXD009348	Plasma proteome profiling reveals global and specific changes of inflammatory and lipid homeostasis markers after bariatric surgery	Obesity-related diseases now affect half of the global populatio	2018-12-07	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD008824	Identification of non-overlapping functions between adaptor proteins NCK1 and NCK2	Signals from cell surface receptors are often relayed via adapto	2018-09-20	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	['LTQ Orbitrap', 'TripleTOF 5600']	['Biological']
PXD009917	A549 CD38 phosphoproteomics analysis	A549 CD38 overexpression cells phosphoproteomics analysis	2018-07-11	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['phosphorylated residue']	['LTQ Orbitrap']	[]
PXD007975	Quantitative Proteomic Analysis of Plasma Samples from Chronic Hepatitis B and Chronic Liver Failure Patients for Biomarker Discovery	Hepatitis B virus (HBV)-associated acute on chronic liver failur	2018-10-23	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['No PTMs are included in the dataset']	['LTQ Orbitrap Elite']	['Biomedical']
PXD011214	Urinary glycopeptide analysis for the investigation of novel biomarkers	The aim of this study was to investigate the presence of intact 	2018-11-29	PARTIAL	0	['Homo sapiens (Human)']	['urine']	['Hex1HexNAc2', 'monohydroxylated residue', 'Hex1HexNAc1NeuAc1 glycosylated residue', 'O-(N-acetylamino)glucosyl-L-threonine', 'O-hexosylated threonine', 'N-acetylneuraminylated', 'O-(N-acetylamino)glucosyl-L-serine']	['LTQ Orbitrap Velos']	['Biomedical']
PXD009813	Human salivary basic proline-rich proteins	Human basic proline-rich proteins and basic glycosylated proline	2018-08-08	PARTIAL	0	['Homo sapiens (Human)']	['saliva']	['phosphorylated residue']	['LTQ Orbitrap Elite']	['Biological']
PXD009061	Comparison of proteomic sample preparation and data analysis methods by means of human follicular fluids	In-depth proteome exploration of complex body fluids is a challe	2018-12-04	PARTIAL	0	['Homo sapiens (Human)']	['oocyte']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Orbitrap Fusion ETD']	['Technical']
PXD000561	A draft map of the human proteome	The availability of human genome sequence has transformed biomed	2014-04-23	PARTIAL	0	['Homo sapiens (Human)']	['prostate gland', 'gut', 'testis', 'helper T-lymphocyte', 'kidney', 'retina', 'pancreas', 'adrenal gland', 'spinal cord', 'natural killer cell', 'cytotoxic T-lymphocyte', 'liver', 'urinary bladder', 'gall bladder', 'brain', 'heart', 'lung', 'ovary', 'blood platelet', 'frontal lobe', 'B-lymphocyte', 'colon', 'placenta', 'monocyte', 'rectum', 'esophagus']	['L-methionine sulfoxide', 'iodoacetamide derivatized residue', 'acetylated residue']	['LTQ Orbitrap Velos', 'LTQ Orbitrap Elite']	[]
PXD015523	PDZD8 interacts with Protrudin and Rab7 to form an ER-late endosome membrane contact site that recruits mitochondria	Endosomes regulate a plethora of cellular processes including si	2020-06-02	PARTIAL	0	['Homo sapiens (Human)']	['colon']	['No PTMs are included in the dataset']	['Q Exactive Plus']	[]
PXD018625	Comparison non-targeting hRNA hESCs versus UBE2K shRNA hESCs	Histones modulate gene expression by chromatin compaction, regul	2020-06-01	PARTIAL	0	['Homo sapiens (Human)']	['embryo']	['No PTMs are included in the dataset']	['Q Exactive HF']	[]
PXD017213	Urinary proteomics in youths with and without type 1 diabetes	Diabetic kidney disease is the leading cause of end-stage renal 	2020-06-01	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['iodoacetamide derivatized residue']	['Q Exactive']	[]
PXD018226	Determination of a tumor-promoting microenvironment in recurrent medulloblastoma: a multi-omics study of cerebrospinal fluid	Molecular characterization of medulloblastoma (MB) cell origin a	2020-06-01	COMPLETE	30	['Homo sapiens (Human)']	['cerebrospinal fluid']	['MappingA', 'Carbamidomethyl', 'iodoacetamide derivatized residue', 'Acetyl', 'monohydroxylated residue', 'Oxidation', 'acetylated residue']	['Q Exactive']	[]
PXD015653	Comprehensive analysis of symmetric arginine dimethylation in colorectal cancer tissues from patients using immuniaffinity enrichment followed by LC-MS/MS analysis	Post-translational arginine methylation is responsible for regul	2020-06-01	PARTIAL	0	['Homo sapiens (Human)']	['colon']	['dimethylated residue', 'iodoacetamide derivatized residue', 'monomethylated residue', 'monohydroxylated residue']	['LTQ Orbitrap Velos']	[]
PXD004928	Comparative evaluation of the aqueous humor proteome of primary angle closure and primary open angle glaucomas and senile cataract eyes	Comparative evaluation of the aqueous humor proteome of primary 	2020-05-29	PARTIAL	0	['Homo sapiens (Human)']	['anterior chamber of the eye']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['LTQ Orbitrap Velos']	['Biological', 'Biomedical']
PXD012971	RET Kinase Inhibition in Neuroendocrine Prostate Cancer, part 2	Increased treatment of metastatic castration resistant prostate 	2020-05-29	PARTIAL	0	['Homo sapiens (Human)']	['prostate gland']	['phosphorylated residue']	['Q Exactive']	['Biomedical']
PXD012970	RET Kinase Inhibition in Neuroendocrine Prostate Cancer, part 1	Increased treatment of metastatic castration resistant prostate 	2020-05-29	PARTIAL	0	['Homo sapiens (Human)']	['testis']	['phosphorylated residue']	['Q Exactive']	['Biomedical']
PXD018502	Glycopeptide Biomarkers for HCC Detection in Patients with NASH	A comprehensive screening of site-specific N-glycopeptides in se	2020-05-22	PARTIAL	0	['Homo sapiens (Human)']	['blood serum']	['iodoacetamide derivatized residue', 'deaminated residue', 'monohydroxylated residue']	['Q Exactive']	[]
PXD011178	The use of LysargiNase complementary to trypsin in large scale phosphoproteome study for unambiguous phosphosite localization	Understanding of kinase-guided signaling pathways requires ident	2020-05-22	COMPLETE	12	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	['LTQ Orbitrap Velos']	[]
PXD012960	• Clinical proteomics profiling for biomarker identification  among patients suffering with Indian Post Kala Azar Dermal Leishmaniasis	Post Kala Azar Dermal Leishmaniasis (PKDL) is a non-fatal dermal	2020-05-20	COMPLETE	4	['Homo sapiens (Human)']	['blood plasma']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biology/Disease-Driven Human Proteome Project (B/D-HPP)', 'Human Proteome Project']
PXD016126	Saliva proteomic patterns in patients with and without molar incisor hypomineralization Proteins exclusively detected in MIH saliva in molar incisor hypomineralization: a proteomic profiling	Molar incisor hypomineralization (MIH) is an endemic pediatric d	2020-05-12	PARTIAL	0	['Homo sapiens (Human)']	['saliva']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue', 'acetylated residue']	['Q Exactive']	[]
PXD016865	Human stomach LC-MSMS China Human Proteome Project	With the optional setting of multiple stepped collisional energi	2020-05-11	PARTIAL	0	['Homo sapiens (Human)']	['stomach']	['iodoacetamide derivatized residue', 'complex glycosylation']	['Q Exactive']	['China Human Proteome Project (CNHPP)', 'Human Proteome Project']
PXD016261	Evaluation of tumor interstitial fluid-extraction methods for proteome analysis: comparison of biopsy elution versus centrifugation	The analysis of Tumor Interstitial Fluid (TIF) composition is a 	2020-05-06	PARTIAL	0	['Homo sapiens (Human)']	['skin']	['No PTMs are included in the dataset']	['Orbitrap Fusion Lumos']	[]
PXD005970	Toxicoproteomic and lipidomic analysis of human lung cells chronically exposed to MWCNT	Multi-walled carbon nanotubes (MWCNT) present a wide variety of 	2020-05-06	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['deamidated residue']	['LTQ Orbitrap Elite']	['Biomedical']
PXD017268	Proteomic characterization of the mucosal pellicle formed in vitro on a cellular model of oral epithelium	The oral mucosal pellicle is a thin lubricating layer generated 	2020-05-06	PARTIAL	0	['Homo sapiens (Human)']	['saliva']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['LTQ Orbitrap Elite']	[]
PXD018678	Proteomic analysis of ischemic and dilated cardiomyopathy pre-mortem human hearts	Our understanding of heart failure (HF) has been provided by ind	2020-05-01	PARTIAL	0	['Homo sapiens (Human)']	['heart']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive HF-X']	[]
PXD017976	Platelets fuel the inflammasome activation of innate immune cells	Proteomic analysis of cell-free supernatants (Secretome) from hu	2020-05-01	PARTIAL	0	['Homo sapiens (Human)']	['blood platelet']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive']	[]
PXD016437	Quantitative proteomic analysis of urine liquid biopsy samples in muscle invasive bladder urothelial carcinoma	We performed mass spectrometry-based proteomic analysis of urine	2020-04-29	PARTIAL	0	['Homo sapiens (Human)']	['urine']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive Plus']	[]
PXD016555	Tumor-associated macrophages promote ovarian cancer cell migration by secreting transforming growth factor beta induced (TGFBI) and tenascin C	A central and unique aspect of high-grade serous ovarian carcino	2020-04-28	PARTIAL	0	['Homo sapiens (Human)']	['ascites', 'macrophage']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biomedical']
PXD015836	Deep intronic homozygous variation in PSMC3, a subunit of the 19S proteasome regulatory complex, causes a syndromic neurosensory disorder combining deafness and cataract	The association of congenital deafness and early-onset cataracts	2020-04-28	COMPLETE	9	['Homo sapiens (Human)']	['skin fibroblast']	['Carbamidomethyl', 'Phospho', 'Acetyl', 'Oxidation']	['Q Exactive']	[]
PXD017804	LC-MSMS of postmenopausal with low BMD	Postmenopausal osteoporosis (PMOP) is a major global public heal	2020-04-27	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['No PTMs are included in the dataset']	['Q Exactive Plus']	[]
PXD015817	A unified protocol for simultaneous extraction of DNA and proteins from archaeological dental calculus	Archaeological materials are a finite resource, and efforts shou	2020-04-27	COMPLETE	27	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Oxidation', 'Deamidated']	['Q Exactive']	['Biological']
PXD018682	MS analysis of SARS-CoV2 proteins from patient samples	We developed a simple, MS-based method to specifically detect SA	2020-04-24	COMPLETE	2	['Homo sapiens (Human)']	['saliva']	['Met-loss+Acetyl', 'Carbamidomethyl', 'iodoacetamide derivatized residue', 'Acetyl', 'Met-loss', 'Oxidation', 'Deamidated']	['Orbitrap Fusion']	['Biology/Disease-Driven Human Proteome Project (B/D-HPP)', 'Human Proteome Project']
PXD017011	Digenic inheritance of mutations in EPHA2 and SLC26A4 in Pendred syndrome	Enlarged vestibular aqueducts (EVA) is one of the most commonly 	2020-04-22	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biomedical']
PXD015780	Immune modulation by complement receptor 3 (CD18/CD11b) dependent human monocyte TGF-β1-transporting vesicles	Extracellular vesicles play an important role in human cellular 	2020-04-22	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biological']
PXD017656	GPI-glycan structures of human Prion from a human brain	To determine glycosylphosphatidylinositol (GPI) structures of hu	2020-04-21	COMPLETE	1	['Homo sapiens (Human)']	['brain']	['Carbamidomethyl', 'Oxidation', 'Gln->pyro-Glu']	['LTQ Orbitrap Velos']	[]
PXD017030	Tryp-N: A thermostable protease for the production of N-terminal argininyl and lysinyl peptides	Identification and characterization of Tryp-N, A thermostable pr	2020-04-21	PARTIAL	0	['Homo sapiens (Human)']	['kidney', 'embryo']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Orbitrap Fusion Lumos']	['Technical']
PXD017023	Tryp-N: A thermostable protease for the production of N-terminal argininyl and lysinyl peptides	Identification and characterization of Tryp-N, A thermostable pr	2020-04-21	PARTIAL	0	['Homo sapiens (Human)']	['kidney', 'embryo']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Orbitrap Fusion Lumos']	['Technical']
PXD005978	Signaling network diversification during differentiation sensitizes AML cells to PAK and MEK inhibitors	A main requirement for precision medicine is the identification 	2020-04-15	COMPLETE	2	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'phosphorylated residue', 'deaminated residue', 'monohydroxylated residue']	['Q Exactive']	['Biomedical']
PXD012615	Human liver cells proteome	The human liver functions through a complex interplay of parench	2020-04-09	PARTIAL	0	['Homo sapiens (Human)']	['liver']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD017056	VESICULATION OF RED BLOOD CELLS IN THE BLOOD BANK: A MULTI-OMICS APPROACH TOWARDS IDENTIFICATION OF CAUSES AND CONSEQUENCES	Microvesicle generation is an integral part of the aging process	2020-04-03	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['No PTMs are included in the dataset']	['LTQ Orbitrap Velos']	[]
PXD014894	Proteomic analysis of NK cell-derived extracellular vesicles.	Natural killer (NK) cells contribute to immunosurveillance and f	2020-04-03	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue']	['Orbitrap Fusion']	[]
PXD015163	HPLC-MS/MS analysis of plasma samples from patients with colorectal cancer	We sought to identify a characteristic profile of proteins in bl	2020-04-02	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['monohydroxylated residue']	['Q Exactive']	['Human Proteome Project', 'Biomedical']
PXD013616	The Role of CDYL-Regulated Crotonylation of RPA1 in Homologous Recombination-Mediated DNA Repair	Lysine crotonylation (Kcr) is a recently-identified protein shor	2020-04-01	PARTIAL	0	['Homo sapiens (Human)']	['whole body']	['N6-crotonyl-L-lysine']	['Q Exactive Plus']	[]
PXD018208	Glycopeptide Relative Retention Time Prediction	A re-analysis of published data-dependent acquisition glycoprote	2020-04-01	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['N-glycosylated residue', 'iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Orbitrap Fusion Lumos', 'Q Exactive']	[]
PXD013649	non-canonical HLA peptides in cancer	Efforts to precisely identify tumor human leukocyte antigen pres	2020-03-27	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Biology/Disease-Driven Human Proteome Project (B/D-HPP)', 'Biomedical']
PXD015239	Epigenetic contributions to hemisphere asymmetry in healthy brain, aging, and Parkinson’s disease	Hemispheric asymmetry in neuronal processes is a fundamental fea	2020-03-26	PARTIAL	0	['Homo sapiens (Human)']	['brain']	['Acetyl', 'Oxidation']	['Q Exactive']	[]
PXD013038	CDK1 and CDK2 regulate NICD1 turnover  and the periodicity of the segmentation clock	All vertebrates share a segmented body axis. Segments form from 	2020-03-24	COMPLETE	9	['Homo sapiens (Human)']	['kidney']	['Carbamidomethyl', 'Dioxidation', 'Phospho', 'Oxidation']	['LTQ Orbitrap Velos']	[]
PXD011116	Human IPF and control lungs LC-MSMS	Idiopathic pulmonary fibrosis (IPF) is a chronic progressive int	2020-03-20	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD011129	PRM detection of NEDD4-2 in human IPF and control tissue	Idiopathic pulmonary fibrosis (IPF) is a chronic progressive int	2020-03-20	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD015518	A fibroblast-specific genome-scale model focused on fatty acid alpha-oxidation	Refsum disease is an inborn error of metabolism that is characte	2020-03-20	PARTIAL	0	['Homo sapiens (Human)']	['skin']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive Plus']	[]
PXD012029	Fasting, FDFT1 expression and colorectal cancer	First, lentivirus-mediated overexpression of FDFT1 and lentiviru	2020-03-19	COMPLETE	1	['Homo sapiens (Human)']	['colon']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'iTRAQ8plex', 'Deamidated']	['Q Exactive']	[]
PXD014524	A simple peptide quantification approach for MS-based proteomics quality control	Despite its growing popularity and use, bottom-up proteomics rem	2020-03-13	COMPLETE	4	['Homo sapiens (Human)']	['kidney', 'blood plasma', 'blood']	['Acetyl', 'Oxidation']	['Q Exactive HF']	[]
PXD009261	A proteomic landscape of the human cornea	The sclera is white, tough outer covering, known for providing s	2020-03-09	PARTIAL	0	['Homo sapiens (Human)']	['cornea']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Orbitrap Fusion']	['Biological', 'Biomedical']
