;assay_id;cell_line;filename;PXD_accession;Protein_count;pool_id;comments
617;31730;SHSY5Y;160923_A12_FullProteome2_WT_15_supernatant_DMSO_SCX3;PXD010538;1690;7;
618;31731;SHSY5Y;160923_A12_FullProteome2_WT_15_supernatant_DMSO_SCX4;PXD010538;1683;7;
619;31732;SHSY5Y;160923_A12_FullProteome2_WT_15_supernatant_DMSO_SCX5;PXD010538;1748;7;
620;31733;SHSY5Y;160923_A12_FullProteome2_WT_15_supernatant_DMSO_SCX6;PXD010538;1682;7;
621;31734;SHSY5Y;160923_A12_FullProteome2_WT_16_supernatant_DMSO_SCX12;PXD010538;1410;8;
622;31735;SHSY5Y;160923_A12_FullProteome2_WT_16_supernatant_DMSO_SCX3;PXD010538;1713;8;
623;31736;SHSY5Y;160923_A12_FullProteome2_WT_16_supernatant_DMSO_SCX4;PXD010538;1688;8;
624;31737;SHSY5Y;160923_A12_FullProteome2_WT_16_supernatant_DMSO_SCX5;PXD010538;1728;8;
625;31738;SHSY5Y;160923_A12_FullProteome2_WT_16_supernatant_DMSO_SCX6;PXD010538;1717;8;
626;31739;SHSY5Y;160923_A12_FullProteome2_WT_17_supernatant_DMSO_SCX12;PXD010538;1509;9;
627;31740;SHSY5Y;160923_A12_FullProteome2_WT_17_supernatant_DMSO_SCX3;PXD010538;1742;9;
628;31741;SHSY5Y;160923_A12_FullProteome2_WT_17_supernatant_DMSO_SCX4;PXD010538;1724;9;
629;31742;SHSY5Y;160923_A12_FullProteome2_WT_17_supernatant_DMSO_SCX5;PXD010538;1778;9;
630;31743;SHSY5Y;160923_A12_FullProteome2_WT_17_supernatant_DMSO_SCX6;PXD010538;1594;9;
631;31744;SHSY5Y;160923_A12_FullProteome2_WT_18_supernatant_DMSO_SCX12;PXD010538;1580;10;
632;31745;SHSY5Y;160923_A12_FullProteome2_WT_18_supernatant_DMSO_SCX3;PXD010538;1698;10;
633;31746;SHSY5Y;160923_A12_FullProteome2_WT_18_supernatant_DMSO_SCX4;PXD010538;1688;10;
634;31747;SHSY5Y;160923_A12_FullProteome2_WT_18_supernatant_DMSO_SCX5;PXD010538;1739;10;
635;31748;SHSY5Y;160923_A12_FullProteome2_WT_18_supernatant_DMSO_SCX6;PXD010538;1610;10;
636;31749;SHSY5Y;160923_A12_FullProteome2_WT_2_supernatant_SF_SCX12;PXD010538;1432;11;
637;31750;SHSY5Y;160923_A12_FullProteome2_WT_2_supernatant_SF_SCX3;PXD010538;1714;11;
638;31751;SHSY5Y;160923_A12_FullProteome2_WT_2_supernatant_SF_SCX4;PXD010538;1667;11;
639;31752;SHSY5Y;160923_A12_FullProteome2_WT_2_supernatant_SF_SCX5;PXD010538;1739;11;
640;31753;SHSY5Y;160923_A12_FullProteome2_WT_2_supernatant_SF_SCX6;PXD010538;1637;11;
641;31754;SHSY5Y;160923_A12_FullProteome2_WT_3_supernatant_SF_SCX12;PXD010538;1300;12;
642;31755;SHSY5Y;160923_A12_FullProteome2_WT_3_supernatant_SF_SCX3;PXD010538;1717;12;
643;31756;SHSY5Y;160923_A12_FullProteome2_WT_3_supernatant_SF_SCX4;PXD010538;1663;12;
644;31757;SHSY5Y;160923_A12_FullProteome2_WT_3_supernatant_SF_SCX5;PXD010538;1684;12;
645;31758;SHSY5Y;160923_A12_FullProteome2_WT_3_supernatant_SF_SCX6;PXD010538;1645;12;
646;31759;SHSY5Y;160923_A12_FullProteome2_WT_4_supernatant_SF_SCX12;PXD010538;1416;13;
647;31760;SHSY5Y;160923_A12_FullProteome2_WT_4_supernatant_SF_SCX3;PXD010538;1720;13;
648;31761;SHSY5Y;160923_A12_FullProteome2_WT_4_supernatant_SF_SCX4;PXD010538;1648;13;
649;31762;SHSY5Y;160923_A12_FullProteome2_WT_4_supernatant_SF_SCX5;PXD010538;1659;13;
650;31763;SHSY5Y;160923_A12_FullProteome2_WT_4_supernatant_SF_SCX6;PXD010538;1614;13;
651;31764;SHSY5Y;160923_A12_FullProteome2_WT_5_supernatant_SF_SCX12;PXD010538;1503;14;
652;31765;SHSY5Y;160923_A12_FullProteome2_WT_5_supernatant_SF_SCX3;PXD010538;1729;14;
653;31766;SHSY5Y;160923_A12_FullProteome2_WT_5_supernatant_SF_SCX4;PXD010538;1699;14;
654;31767;SHSY5Y;160923_A12_FullProteome2_WT_5_supernatant_SF_SCX5;PXD010538;1704;14;
655;31768;SHSY5Y;160923_A12_FullProteome2_WT_5_supernatant_SF_SCX6;PXD010538;1551;14;
656;31769;SHSY5Y;160923_A12_FullProteome2_WT_6_supernatant_SF_SCX12;PXD010538;1402;15;
657;31770;SHSY5Y;160923_A12_FullProteome2_WT_6_supernatant_SF_SCX3;PXD010538;1775;15;
658;31771;SHSY5Y;160923_A12_FullProteome2_WT_6_supernatant_SF_SCX4;PXD010538;1716;15;
659;31772;SHSY5Y;160923_A12_FullProteome2_WT_6_supernatant_SF_SCX6;PXD010538;1795;15;
660;31773;SHSY5Y;160923_A12_FullProteome2_WT_6_supernatant_SF_SCX6_161214131311;PXD010538;1630;15;
661;31774;SHSY5Y;160923_A12_FullProteome2_WT_7_supernatant_Rapa_SCX12;PXD010538;1324;16;
662;31775;SHSY5Y;160923_A12_FullProteome2_WT_7_supernatant_Rapa_SCX3;PXD010538;1669;16;
663;31776;SHSY5Y;160923_A12_FullProteome2_WT_7_supernatant_Rapa_SCX4;PXD010538;1670;16;
664;31777;SHSY5Y;160923_A12_FullProteome2_WT_7_supernatant_Rapa_SCX5;PXD010538;1725;16;
665;31778;SHSY5Y;160923_A12_FullProteome2_WT_7_supernatant_Rapa_SCX6;PXD010538;1724;16;
666;31779;SHSY5Y;160923_A12_FullProteome2_WT_8_supernatant_Rapa_SCX12;PXD010538;1392;17;
667;31780;SHSY5Y;160923_A12_FullProteome2_WT_8_supernatant_Rapa_SCX3;PXD010538;1744;17;
668;31781;SHSY5Y;160923_A12_FullProteome2_WT_8_supernatant_Rapa_SCX4;PXD010538;1692;17;
669;31782;SHSY5Y;160923_A12_FullProteome2_WT_8_supernatant_Rapa_SCX5;PXD010538;1753;17;
670;31783;SHSY5Y;160923_A12_FullProteome2_WT_8_supernatant_Rapa_SCX6;PXD010538;1710;17;
671;31784;SHSY5Y;160923_A12_FullProteome2_WT_9_supernatant_Rapa_SCX12;PXD010538;1545;18;
672;31785;SHSY5Y;160923_A12_FullProteome2_WT_9_supernatant_Rapa_SCX3;PXD010538;1669;18;
673;31786;SHSY5Y;160923_A12_FullProteome2_WT_9_supernatant_Rapa_SCX4;PXD010538;1687;18;
674;31787;SHSY5Y;160923_A12_FullProteome2_WT_9_supernatant_Rapa_SCX5;PXD010538;1756;18;
675;31788;SHSY5Y;160923_A12_FullProteome2_WT_9_supernatant_Rapa_SCX6;PXD010538;1707;18;
676;32043;MDA-MB-231;MDA-MB-231_CC_CisPt;PXD009442;816;0;
677;32044;MDA-MB-231;MDA-MB-231_CC_control;PXD009442;1121;0;
678;32045;MDA-MB-231;MDA-MB-231_CC_cyclo;PXD009442;1019;0;
679;32046;MDA-MB-231;MDA-MB-231_CC_Dox;PXD009442;1106;0;
680;32047;MDA-MB-231;MDA-MB-231_CSC_control;PXD009442;1075;0;
681;32081;SKNBE2;20161017_QEp5_PiSc_SA_mock_48h_2;PXD009560;3974;0;
682;32082;SKNBE2;20161017_QEp5_PiSc_SA_mock_48h_3;PXD009560;3931;0;
683;32083;SKNBE2;20161017_QEp5_PiSc_SA_mock_48h_4;PXD009560;3880;0;
684;32084;SKNBE2;20161017_QEp5_PiSc_SA_mock_72h_1;PXD009560;3934;0;
685;32085;SKNBE2;20161017_QEp5_PiSc_SA_mock_72h_2;PXD009560;3913;0;
686;32086;SKNBE2;20161017_QEp5_PiSc_SA_mock_72h_3;PXD009560;3788;0;
687;32087;SKNBE2;20161017_QEp5_PiSc_SA_mock_72h_4;PXD009560;3812;0;
688;32088;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_24h_1;PXD009560;3936;0;
689;32089;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_24h_2;PXD009560;3879;0;
690;32090;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_24h_3;PXD009560;3907;0;
691;32091;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_24h_4;PXD009560;3853;0;
692;32092;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_48h_1;PXD009560;3868;0;
693;32093;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_48h_2;PXD009560;3842;0;
694;32094;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_48h_3;PXD009560;3933;0;
695;32095;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_48h_4;PXD009560;3876;0;
696;32096;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_72h_1;PXD009560;3731;0;
697;32097;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_72h_2;PXD009560;3664;0;
698;32098;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_72h_3;PXD009560;3709;0;
699;32099;SKNBE2;20161018_QEp5_PiSc_SA_ZIKV_72h_4;PXD009560;2128;0;
700;32100;SKNBE2;20161021_QEp5_PiSc_SA_mock_24h_1;PXD009560;3843;0;
701;32101;SKNBE2;20161021_QEp5_PiSc_SA_mock_24h_2;PXD009560;3873;0;
702;32102;SKNBE2;20161021_QEp5_PiSc_SA_mock_24h_3;PXD009560;3777;0;
703;32103;SKNBE2;20161021_QEp5_PiSc_SA_mock_24h_4;PXD009560;3833;0;
704;32104;SKNBE2;20161021_QEp5_PiSc_SA_mock_48h_1;PXD009560;3827;0;
705;32105;A2780;A2780-1;PXD003252;1197;0;
706;32106;A2780;A2780-2;PXD003252;1231;0;
707;32107;A2780;A2780-DR control-1;PXD003252;1044;0;
708;32108;A2780;A2780-DR control-2;PXD003252;1010;0;
709;32109;A2780;A2780-DR H19si-1;PXD003252;1040;0;
710;32110;A2780;A2780-DR H19si-2;PXD003252;1202;0;
711;32111;A2780;A2780-DR-1;PXD003252;1145;0;
712;32112;A2780;A2780-DR-2;PXD003252;1171;0;
713;32149;MCF7;20170210_MCF7_LysC_Null_1a;PXD007543;1724;0;
714;32150;MCF7;20170210_MCF7_LysC_Null_1b;PXD007543;1639;0;
715;32151;MCF7;20170210_MCF7_LysC_Null_2a;PXD007543;1772;0;
716;32152;MCF7;20170210_MCF7_LysC_Null_2b;PXD007543;1659;0;
717;32153;MCF7;20170210_MCF7_LysC_Null_3a;PXD007543;1663;0;
718;32154;MCF7;20170210_MCF7_LysC_Null_3b;PXD007543;1642;0;
719;32155;MCF7;20170210_MCF7_LysC_WT_1a;PXD007543;1548;0;
720;32156;MCF7;20170210_MCF7_LysC_WT_1b;PXD007543;1560;0;
721;32157;MCF7;20170210_MCF7_LysC_WT_2a;PXD007543;1688;0;
722;32158;MCF7;20170210_MCF7_LysC_WT_2b;PXD007543;1629;0;
723;32159;MCF7;20170210_MCF7_LysC_WT_3a;PXD007543;1555;0;
724;32160;MCF7;20170210_MCF7_LysC_WT_3b;PXD007543;1539;0;
725;32161;MCF7;20170210_MCF7_Trypsin_Null_1a;PXD007543;2043;0;
726;32162;MCF7;20170210_MCF7_Trypsin_Null_1b;PXD007543;1921;0;
727;32163;MCF7;20170210_MCF7_Trypsin_Null_2a;PXD007543;2223;0;
728;32164;MCF7;20170210_MCF7_Trypsin_Null_2b;PXD007543;2088;0;
729;32165;MCF7;20170210_MCF7_Trypsin_Null_3a;PXD007543;2259;0;
730;32166;MCF7;20170210_MCF7_Trypsin_Null_3b;PXD007543;2124;0;
731;32167;MCF7;20170210_MCF7_Trypsin_WT_1a;PXD007543;2154;0;
732;32168;MCF7;20170210_MCF7_Trypsin_WT_1b;PXD007543;2133;0;
733;32169;MCF7;20170210_MCF7_Trypsin_WT_2a;PXD007543;1966;0;
734;32170;MCF7;20170210_MCF7_Trypsin_WT_2b;PXD007543;1991;0;
735;32171;MCF7;20170210_MCF7_Trypsin_WT_3a;PXD007543;2041;0;
736;32172;MCF7;20170210_MCF7_Trypsin_WT_3b;PXD007543;2107;0;
737;32173;HEK293;EOT12-1010;PXD008693;244;1;uncertain, where are the other assays?
738;32176;HEK293;EOT12-1013;PXD008693;1252;1;uncertain, where are the other assays?
739;32177;HEK293;EOT12-1014;PXD008693;1655;1;uncertain, where are the other assays?
740;32178;HEK293;EOT12-1015;PXD008693;1230;1;uncertain, where are the other assays?
741;32179;HEK293;EOT12-1016;PXD008693;1044;1;uncertain, where are the other assays?
742;32180;HEK293;EOT12-1017;PXD008693;1145;1;uncertain, where are the other assays?
743;32181;HEK293;EOT12-1018;PXD008693;1122;1;uncertain, where are the other assays?
744;32182;HEK293;EOT12-1019;PXD008693;1181;1;uncertain, where are the other assays?
745;32183;HEK293;EOT12-1020;PXD008693;775;1;uncertain, where are the other assays?
746;32184;HEK293;EOT12-1021;PXD008693;514;1;uncertain, where are the other assays?
747;32185;HEK293;EOT12-1022;PXD008693;91;1;uncertain, where are the other assays?
748;32186;HEK293;EOT12-1023;PXD008693;54;1;uncertain, where are the other assays?
749;32187;HEK293;EOT12-1024;PXD008693;28;1;uncertain, where are the other assays?
750;32188;HEK293;EOT12-1025;PXD008693;79;1;uncertain, where are the other assays?
751;32207;Jurkat;V14707_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr5_130610002205;PXD000426;257;2;
752;32208;Jurkat;V14708_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr6_130610011337;PXD000426;280;2;
753;32209;Jurkat;V14709_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr5_130610020453;PXD000426;251;1;
754;32210;Jurkat;V14710_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr6;PXD000426;245;1;
755;32211;Jurkat;V14711_PolyASN_test_445_Jurkat_2ul_31-05-2013_LMA0_fr7;PXD000426;236;2;
756;32212;Jurkat;V14712_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr8;PXD000426;310;2;
757;32213;Jurkat;V14713_PolyASN_test_361_Jurkat_2ul_31-05-2013_LMA0_fr7;PXD000426;223;1;
758;32214;Jurkat;V14714_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr8;PXD000426;310;1;
759;32215;Jurkat;V14715_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr9;PXD000426;263;2;
760;32216;Jurkat;V14716_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr10;PXD000426;280;2;
761;32217;Jurkat;V14717_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr9;PXD000426;256;1;
762;32218;Jurkat;V14718_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr10;PXD000426;272;1;
763;32219;Jurkat;V14719_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr11;PXD000426;276;2;
764;32220;Jurkat;V14720_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr12_130610153425;PXD000426;305;2;
765;32221;Jurkat;V14721_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr11_130610162550;PXD000426;260;1;
766;32222;Jurkat;V14722_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr12;PXD000426;299;1;
767;32223;Jurkat;V14723_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr13;PXD000426;273;2;
768;32224;Jurkat;V14724_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr14;PXD000426;261;2;
769;32225;Jurkat;V14725_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr13;PXD000426;265;1;
770;32226;Jurkat;V14726_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr14;PXD000426;271;1;
771;32227;Jurkat;V14727_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr15;PXD000426;240;2;
772;32228;Jurkat;V14728_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr16;PXD000426;257;2;
773;32229;Jurkat;V14729_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr15;PXD000426;240;1;
774;32230;Jurkat;V14730_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr16;PXD000426;261;1;
775;32231;Jurkat;V14731_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr17;PXD000426;247;2;
776;32232;Jurkat;V14732_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr18;PXD000426;281;2;
777;32233;Jurkat;V14733_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr17;PXD000426;239;1;
778;32234;Jurkat;V14734_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr18;PXD000426;273;1;
779;32235;Jurkat;V14735_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr19;PXD000426;267;2;
780;32236;Jurkat;V14736_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr20;PXD000426;274;2;
781;32237;Jurkat;V14737_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr19;PXD000426;260;1;
782;32238;Jurkat;V14738_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr20;PXD000426;292;1;
783;32239;Jurkat;V14783_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr2;PXD000426;308;2;
784;32240;Jurkat;V14785_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr2;PXD000426;298;1;
785;32241;Jurkat;V14786_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr3;PXD000426;270;2;
786;32242;Jurkat;V14787_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr4;PXD000426;261;2;
787;32243;Jurkat;V14788_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr3;PXD000426;275;1;
788;32244;Jurkat;V14789_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr4;PXD000426;254;1;
789;32245;Jurkat;V14790_PolyASN_test_445_Jurkat__31-05-2013_LMA0_fr1_130617185057;PXD000426;326;2;
790;32246;Jurkat;V14791_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr1_130617170822;PXD000426;316;1;
791;32247;Jurkat;V14982_PolyASN_test_445_Jurkat__16-06-2013_LMA2_fr1;PXD000426;246;2;
792;32248;Jurkat;V14983_PolyASN_test_445_Jurkat__16-06-2013_LMA2_fr2;PXD000426;223;2;
793;32249;Jurkat;V14984_PolyASN_test_361_Jurkat__16-06-2013_LMA2_fr1;PXD000426;223;1;
794;32250;Jurkat;V14985_PolyASN_test_361_Jurkat__16-06-2013_LMA2_fr2;PXD000426;229;1;
795;32251;Jurkat;V14986_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr3;PXD000426;228;2;
796;32252;Jurkat;V14987_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr4;PXD000426;208;2;
797;32253;Jurkat;V14988_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr3;PXD000426;187;1;
798;32254;Jurkat;V14989_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr4;PXD000426;199;1;
799;32255;Jurkat;V14990_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr5;PXD000426;213;2;
800;32256;Jurkat;V14991_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr6;PXD000426;212;2;
801;32257;Jurkat;V14992_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr5;PXD000426;200;1;
802;32258;Jurkat;V14993_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr6;PXD000426;223;1;
803;32259;Jurkat;V14994_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr7;PXD000426;206;2;
804;32260;Jurkat;V14995_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr8;PXD000426;257;2;
805;32261;Jurkat;V14996_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr7;PXD000426;195;1;
806;32262;Jurkat;V14997_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr8;PXD000426;273;1;
807;32263;Jurkat;V14998_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr9;PXD000426;221;2;
808;32264;Jurkat;V14999_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr10;PXD000426;240;2;
809;32265;Jurkat;V15000_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr9;PXD000426;209;1;
810;32266;Jurkat;V15001_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr10;PXD000426;259;1;
811;32267;Jurkat;V15002_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr11;PXD000426;264;2;
812;32268;Jurkat;V15003_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr12;PXD000426;279;2;
813;32269;Jurkat;V15004_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr11;PXD000426;256;1;
814;32270;Jurkat;V15005_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr12;PXD000426;278;1;
815;32271;Jurkat;V15006_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr13;PXD000426;263;2;
816;32272;Jurkat;V15007_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr14;PXD000426;257;2;
817;32273;Jurkat;V15008_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr13;PXD000426;287;1;
818;32274;Jurkat;V15009_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr14;PXD000426;253;1;
819;32275;Jurkat;V15010_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr15;PXD000426;219;2;
820;32276;Jurkat;V15011_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr16;PXD000426;271;2;
821;32277;Jurkat;V15012_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr15;PXD000426;245;1;
822;32278;Jurkat;V15013_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr16;PXD000426;250;1;
823;32279;Jurkat;V15014_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr17;PXD000426;240;2;
824;32280;Jurkat;V15015_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr18;PXD000426;244;2;
825;32281;Jurkat;V15016_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr17;PXD000426;253;1;
826;32282;Jurkat;V15017_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr18;PXD000426;252;1;
827;32283;Jurkat;V15018_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr19;PXD000426;263;2;
828;32284;Jurkat;V15019_PolyASN_test_445_Jurkat__16-06-2013_LMA5_fr20;PXD000426;244;2;
829;32285;Jurkat;V15020_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr19;PXD000426;243;1;
830;32286;Jurkat;V15021_PolyASN_test_361_Jurkat__16-06-2013_LMA5_fr20;PXD000426;240;1;
831;32287;U87;P15452_D_ZHI;PXD007759;1296;0;
832;32288;U87;P15452_D_ZHI_151114034033;PXD007759;1325;0;
833;32289;U87;P15452_D_ZHI_151114064020;PXD007759;1295;0;
834;32290;U87;P15452_T_ZHI;PXD007759;1409;0;
835;32291;U87;P15452_T_ZHI_151113094012;PXD007759;1423;0;
836;32292;U87;P15452_T_ZHI_151113124048;PXD007759;1392;0;
837;32890;HT29;CFP_HT29_28m_1;PXD018066;1863;0;
838;32891;HT29;CFP_HT29_28m_2;PXD018066;1823;0;
839;32892;HT29;CFP_HT29_28m_3;PXD018066;2073;0;
840;32893;THP1;20190828_Lumos_ML_NP_EXP1_M0_Rep1;PXD017391;2933;0;
841;32894;THP1;20190828_Lumos_ML_NP_EXP1_M0_Rep2;PXD017391;2990;0;
842;32895;THP1;20190828_Lumos_ML_NP_EXP1_M0_Rep3;PXD017391;2951;0;
843;32896;THP1;20190828_Lumos_ML_NP_EXP1_M1_48h_Rep1;PXD017391;2840;0;
844;32897;THP1;20190828_Lumos_ML_NP_EXP1_M1_48h_Rep2;PXD017391;2753;0;
845;32898;THP1;20190828_Lumos_ML_NP_EXP1_M1_48h_Rep3;PXD017391;2798;0;
846;32899;THP1;20190828_Lumos_ML_NP_EXP1_M1_6h_Rep1;PXD017391;2977;0;
847;32900;THP1;20190828_Lumos_ML_NP_EXP1_M1_6h_Rep2;PXD017391;2999;0;
848;32901;THP1;20190828_Lumos_ML_NP_EXP1_M1_6h_Rep3;PXD017391;2996;0;
849;32902;THP1;20190828_Lumos_ML_NP_EXP1_M2_24h_Rep1;PXD017391;2901;0;
850;32903;THP1;20190828_Lumos_ML_NP_EXP1_M2_24h_Rep2;PXD017391;2936;0;
851;32904;THP1;20190828_Lumos_ML_NP_EXP1_M2_24h_Rep3;PXD017391;2937;0;
852;32905;THP1;20190828_Lumos_ML_NP_EXP1_M2_48h_Rep1;PXD017391;2901;0;
853;32906;THP1;20190828_Lumos_ML_NP_EXP1_M2_48h_Rep2;PXD017391;2912;0;
854;32907;THP1;20190828_Lumos_ML_NP_EXP1_M2_48h_Rep3;PXD017391;2923;0;
855;32908;THP1;20190828_Lumos_ML_NP_EXP1_ND_Rep1;PXD017391;3057;0;
856;32909;THP1;20190828_Lumos_ML_NP_EXP1_ND_Rep2;PXD017391;3056;0;
857;32910;THP1;20190828_Lumos_ML_NP_EXP1_ND_Rep3;PXD017391;3068;0;
858;32911;HT29;Ep_cells_HT29_27000;PXD016742;1474;0;
